Machine,Strategy,Tool_Type,Tool_Diameter,Tool_Tip_Radius,Tool_Length,Overhang,Num_of_Flutes,Gauge_Length,Holder,Tolerance,Block_X,Block_Y,Block_Z,Max_X,Min_X,Max_Y,Min_Y,Max_Z,Min_Z,Skim_Distance,Plunge_Distance,Global_Thickness,Radial_Thickness,Axial_Thickness,Cutting_Feed_Rate,Plunge_Feed_Rate,Rapid_Feed_Rate,Spindle,Cut_Length,Stepover,Stepdown,Machining_Thickness,Estimasi_Detik,Aktual_Detik
PRO,Constant Z,End Mill,6.0,0.0,40.0,15.0,2,99.5,MINI-MINI CHCUK MMC8-90,0.003,110.0,110.0,9.5,25.06,-25.061,2.672,-55.167,20.0,0.891,5,2.0,0.0,0.0,0.0,1200,600.0,7000,4000,3332.19,0.0,0.3,0.0,215,250
PRO,Offset Flat,End Mill,6.0,0.0,40.0,15.0,2,99.5,MINI-MINI CHCUK MMC8-90,0.003,110.0,110.0,9.5,22.339,-22.339,1.999,-51.0,20.0,0.7,5,2.0,0.0,0.0,0.0,1000,500.0,7000,5000,549.314,4.0,0.0,0.0,36,47
PRO,Constant Z,End Mill,6.0,0.0,40.0,15.0,2,99.5,MINI-MINI CHCUK MMC8-90,0.003,110.0,110.0,10.5,17.499,-17.499,0.499,-0.499,20.0,-1.0,5,2.0,0.0,0.0,0.0,700,350.0,7000,3500,664.458,0.0,0.1,0.0,59,70
PRO,Constant Z,End Mill,4.0,0.0,40.0,10.8,2,94.8,MINI-MINI CHCUK MMC8-90,0.001,110.0,110.0,9.5,8.34,-8.344,54.462,0.0,20.0,0.792,5,2.0,0.0,0.0,0.0,1000,500.0,7000,5000,2259.56,0.0,0.2,0.0,208,244
PRO,Interleaved Constant Z,End Mill,4.0,0.0,40.0,10.0,2,94.0,MINI-MINI CHCUK MMC8-90,0.005,110.0,110.0,9.5,2.074,-1.998,52.997,-0.327,20.0,0.898,5,2.0,0.0,0.0,0.0,360,180.0,7000,4500,110.214,0.5,0.0,0.0,19,32
SPLUS,Offset Area Clearance,Tip Radiused,12.4,3.0,30.0,45.0,2,102.0,dummy toolholder name,0.11,85.0,110.003,110.001,12.191,-12.191,102.132,32.362,80.0,54.702,5,2.0,0.2,0.0,0.0,1400,700.0,7000,5500,72.339,6.0,0.3,0.2,8,10
SPLUS,Offset Area Clearance,Tip Radiused,12.4,3.0,30.0,45.0,2,102.0,dummy toolholder name,0.11,85.0,110.003,110.001,13.18,-13.18,102.132,32.362,80.0,41.813,5,2.0,0.2,0.0,0.0,1600,800.0,7000,6000,18339.9,6.0,0.3,0.2,785,842
SPLUS,Offset Area Clearance,Ball Nosed,4.0,2.0,15.0,22.0,2,105.0,dummy toolholder name,0.11,85.0,110.003,110.001,16.007,-16.003,106.25,28.25,80.0,41.514,5,2.0,0.25,0.0,0.0,1200,600.0,7000,9000,2004.58,1.5,0.3,0.25,249,367
SPLUS,Optimised Constant Z,Ball Nosed,4.0,2.0,15.0,22.0,2,105.0,dummy toolholder name,0.007,85.0,110.003,110.001,17.233,-17.233,106.519,27.982,80.0,40.754,5,2.0,0.0,0.0,0.0,1600,800.0,7000,9000,8642.21,0.5,0.0,0.0,325,410
SPLUS,Constant Z,Ball Nosed,2.0,1.0,5.0,15.0,2,98.0,dummy toolholder name,0.01,124.733,3.0,5.5,0.627,-0.631,108.747,25.756,80.0,55.3,5,1.0,0.0,0.02,0.0,1400,700.0,7000,10000,504.266,0.0,0.1,0.02,22,30
SPLUS,Constant Z,Ball Nosed,2.0,1.0,5.0,15.0,2,98.0,dummy toolholder name,0.01,124.733,3.0,5.5,0.505,-0.506,108.622,25.878,80.0,51.0,5,1.0,0.0,0.02,0.0,1400,700.0,7000,10000,7194.38,0.0,0.1,0.02,314,380
SPLUS,Constant Z,Ball Nosed,2.0,1.0,15.0,22.0,2,105.0,dummy toolholder name,0.03,124.733,3.0,15.5,0.485,-0.485,128.602,5.898,80.0,41.303,5,1.0,0.0,0.015,0.0,1400,700.0,7000,10000,21870.1,0.0,0.1,0.015,953,1015
SPLUS,Constant Z,Ball Nosed,2.0,1.0,15.0,22.0,2,105.0,dummy toolholder name,0.006,124.733,3.0,14.2,0.715,-0.528,128.642,6.239,80.0,41.449,5,1.0,0.0,-0.025,0.0,1400,700.0,7000,10000,19021.9,0.0,0.15,-0.025,829,891
SPLUS,Pattern,End Mill,3.0,0.0,30.0,20.0,2,103.0,dummy toolholder name,0.006,124.733,3.0,25.5,0.015,-0.015,109.584,24.916,62.95,41.334,5,1.0,0.0,-0.1,0.0,400,200.0,7000,5000,2710.33,5.0,0.0,-0.1,414,442
SPLUS,Pattern,End Mill,3.0,0.0,30.0,20.0,2,103.0,dummy toolholder name,0.005,124.733,3.0,25.5,0.035,-0.035,109.604,24.896,80.0,41.304,5,1.0,0.0,-0.1,0.0,400,200.0,7000,5000,678.129,5.0,0.0,-0.1,104,110
SPLUS,Pattern,End Mill,3.0,0.0,30.0,20.0,2,103.0,dummy toolholder name,0.005,124.733,3.0,55.5,0.0,-0.05,108.094,26.406,80.0,41.3,5,1.0,0.0,-0.4,0.0,400,200.0,7000,5000,310.755,5.0,0.0,-0.4,51,55
PRO,Constant Z,End Mill,8.0,0.0,40.0,29.1,2,77.1,dummy toolholder name,0.004,160.0,160.0,2.25,63.499,-63.5,63.5,-66.554,50.0,-2.0,5,3.0,0.0,0.5,0.0,1600,800.0,7000,7000,797.955,0.0,1.0,0.5,32,106
PRO,Drilling,Drill,3.0,0.0,4.5,30.0,2,164.0,dummy toolholder name,0.004,18.872,18.872,0.0,32.718,-32.718,32.718,-32.718,50.0,-3.0,5,3.0,0.0,0.0,0.0,28,3.0,3000,1400,48.0,0.0,0.0,0.0,115,139
PRO,Drilling,Drill,8.5,0.0,42.5,50.0,2,184.0,dummy toolholder name,0.004,18.872,18.872,0.0,32.718,-32.718,32.718,-32.718,50.0,-35.0,5,3.0,0.0,0.0,0.0,39,4.0,3000,490,345.345,0.0,0.0,0.0,656,630
PRO,Constant Z,End Mill,8.0,0.0,40.0,32.1,2,80.1,dummy toolholder name,0.006,115.909,115.909,30.25,33.282,-33.282,33.282,-33.282,50.0,-29.999,5,3.0,0.0,-0.05,0.0,1600,800.0,7000,7000,4876.02,0.0,0.2,-0.05,198,272
PRO,Constant Z,End Mill,8.0,0.0,40.0,32.1,2,80.1,dummy toolholder name,0.005,44.0,9.0,4.975,24.913,-24.913,-60.0,-63.0,50.0,-4.975,5,3.0,0.0,0.0,0.0,1600,800.0,7000,7000,1095.66,0.0,0.2,0.0,96,111
PRO,Constant Z,Ball Nosed,6.0,3.0,50.5,33.3,2,117.3,MINI-MINI CHCUK MMC8-90,0.004,115.909,115.909,50.25,50.068,-50.067,50.08,-50.08,50.0,-31.455,5,3.0,0.0,0.0,0.0,1600,800.0,7000,7000,16402.1,0.0,0.2,0.0,624,685
